id,review,date,score
GameMAG,"The Last of Us Part II is the high point of the PlayStation 4. The plot is controversial, but the game is the incredibly addictive adventure of Ellie, from which it is impossible to pull away from the opening and to the very end.",2020-09-13,90.0
PLAY! Zine,"Not everyone is going to enjoy the motives of The Last of Us Part II. But if you try and manage to accept the subliminal and not so subtle messages as a fact that the world has gone awry and that people have the need to have somewhere or someone to belong to as their own way out, then... You will witness the boundaries of gaming expand. You will witness a true masterpiece.",2020-09-05,93.0
,"If you loved the original for its great characters and well-paced story – stay away from this game. However, if you’re aching to sink into the depths of depression, or just want to cut some throats and burn some zombies – Part II will deliver. [Issue#247, p.72]",2020-09-03,75.0
,"Prepare for anger, fear, pain and disappointment. As clichéd as it may sound, Naughty Dog has reached a new, seemingly unreachable level of narrative design. The Last of Us Part II will hurt you in ways that no game has ever done before. This is a story you must experience. [08/2020, p.36]",2020-08-10,100.0
,"Brave, brutal, dark. The Last of Us 2 is not for everyone, a lot of things bother me about it, but it is still exceptional and worth playing. [Issue#304]",2020-07-22,80.0
Cubed3,"The Last of Us Part II's purposely bleak, pessimistic narrative spares no one, and offers a deeply engrossing tale of vengeance that grabs and never lets go. The production values, and overall attention to detail are insane, making one wonder what the developer will do when it gets its hands on the PlayStation 5. The gameplay and overall structure and pacing, while still not the thing that matters here, is thrice as good, making this a far more enjoyable experience, with a higher replay value from the original.",2020-07-20,80.0
PSX Extreme,"The Last Of Us II is an improvement on the first in nearly every way while still keeping what made the first game special. Story and characters are well done as expected and the game plays and feels amazing.  In keeping with the spirit of the first game, The Last of Us Part II has become one of the best games of this generation.",2020-07-19,90.0
Gamers' Temple,"If you enjoyed the first TLOU, you'll definitely find something to love in The Last of Us Part II. The game greatly expands upon just about everything that made the first game popular. The second game didn't get to me emotionally like the first game did, but it definitely has some heavy moments and the shock value is rather extreme at some points.",2020-07-13,85.0
Gamer Escape,"Part II is an unavoidable achievement in so many ways. The few things it doesn’t get right don’t bog it down as many seem to think. Collectively speaking, this game subverts expectations in ways that make it stand out head and shoulders above the rest. For that reason alone, you should feel confident that the money you drop on this game will be money well spent. The PlayStation 4 couldn’t have received a better swan song.",2020-07-06,90.0
LaPS4,"The Last of Us Part 2 is the finishing touch that both its history and the console itself deserve. A perfect game in all its aspects, with a story that captures you from the first moment and with unforgettable characters. Essential.",2020-07-02,98.0
GameCritics,"I finished The Last Of Us Part II feeling depressed, but not for the reasons the developer might have intended — Naughty Dog is an immensely talented studio with resources that many devs can only dream of, yet their achievements in presentation are held back by a lack of mechanical evolution and uninspired gameplay. The Last Of Us Part II is a journey worth tolerating for the sake of what it gets right, but when it comes down to it, I feel exactly the same way about it as I did about the first one — I wish it was a book.",2020-07-01,70.0
GameSkinny,"An emotional rollercoaster that doesn't always hit the mark with what it tries to pull off. It does, however, provide enough amazing highs to outweigh its unfortunate lows.",2020-06-29,80.0
GameGrin,"Some odd priorities, excruciating pacing, and weak character writing keep this intriguing game from being excellent, even if its gameplay and presentation have received large improvements.",2020-06-29,70.0
Slant Magazine,"The game displays a thorough, haunted understanding of what cruelty for cruelty’s sake can do to the soul.",2020-06-27,90.0
,"Mechanically, The Last Of UsPart II is a masterpiece that’sas joyous to play as they come,but it’s let down by its messystructure, leaving us pining forthe journey of the first game. [Issue#177, p.135]",2020-06-26,90.0
The Jimquisition,"It's decent. It's a good little game...The violence is inherently fun... I don't think I've seen a bigger gap between promise and reality since I played Fable 3. [7.5 out of 10 ""if I were doing review scores still...""]",2020-06-25,
KeenGamer,"The graphics and lighting make this one of the best looking games I have ever seen, especially on the current-generation of consoles.",2020-06-24,100.0
DualShockers,"With Part II, Naughty Dog has outdone itself with some of the most meticulously crafted levels and environments that I have seen in a game.",2020-06-24,90.0
TheGamer,"The dystopian world created by the Naughty Dog team is one that I enjoy exploring and surviving in. For everything that The Last of Us: Part II gets right, though, I can’t help but feel like I just played through an extension of the same game from 2013. That’s not necessarily a bad thing, and like Ellie with Joel, I'm trying to accept the game as it is. Considering the impact that The Last of Us had on gaming, I guess I just expected to be blown away all over again.",2020-06-24,70.0
